Filter_Family	Band	fname	Wavelength	F0_Jy
Johnson	U	U	0.3531	1810
Johnson	B	B	0.4442	4260
Johnson	V	V	0.5537	3640
Johnson	R	R	0.6938	2890
Johnson	I	I	0.878	2280
Johnson	J	johnsonJ	1.25	1610
Johnson	H	johnsonH	1.63	1040
Johnson	K	johnsonK	2.19	653
SDSS	u	umag	0.3519	3676
SDSS	g	gmag	0.482	3640
SDSS	r	rmag	0.6247	3645
SDSS	i	imag	0.7635	3641
SDSS	z	zmag	0.9018	3631
2MASS	J	J	1.239	1577
2MASS	H	H	1.65	1050
2MASS	Ks	K	2.164	674.9
DENIS	I	denisI	0.79	2499
DENIS	J	denisJ	1.24	1595
DENIS	Ks	denisK	2.16	665
UKIDSS	Z	ukZ	0.8817	2232
UKIDSS	Y	ukY	1.031	2026
UKIDSS	J	ukJ	1.248	1530
UKIDSS	H	ukH	1.631	1019
UKIDSS	K	ukK	2.201	631
VISTA	Z	vistaZ	0.8762	2264
VISTA	Y	vistaY	1.018	2087
VISTA	J	vistaJ	1.246	1554
VISTA	H	vistaH	1.631	1030
VISTA	Ks	vistaK	2.134	674.8
HST	F435W	F435W	0.4319	4015
HST	F475W	F475W	0.4747	3993
HST	F555W	F555W	0.5361	3661
HST	F606W	F606W	0.5921	3357
HST	F775W	F775W	0.7692	2540
HST	F814W	F814W	0.8057	2458
HST	F850LP	F850LP	0.9033	2250
IRAS	12	IRAS12	11.59	28.3
IRAS	25	IRAS25	23.88	6.73
IRAS	60	IRAS60	61.85	1.19
IRAS	100	IRAS100	101.9	0.43
Spitzer/IRAC	3.6	I1	3.55	280
Spitzer/IRAC	4.5	I2	4.493	179.7
Spitzer/IRAC	5.8	I3	5.731	115
Spitzer/IRAC	8	I4	7.872	64.13
Spitzer/MIPS	24	M1	23.67	7.14
Spitzer/MIPS	70	M2	71.42	0.775
Spitzer/MIPS	160	M3	155.9	0.159
AKARI	S9W	S9W	8.61	56.26
AKARI	L18W	L18W	18.39	12
AKARI	N3	N3	3.19	343.3
AKARI	S7	S7	7.12	74.96
AKARI	S11	S11	10.45	38.26
AKARI	L15	L15	15.58	16.03
AKARI	L24	L24	22.89	8.046
WISE	W1	W1	3.35	306.6
WISE	W2	W2	4.6	170.6
WISE	W3	W3	11.56	29
WISE	W4	W4	22.09	8.3
HIP	BT	BT	0.4203	3943
HIP	VT	VT	0.5319	3761
GALEX	FUV	FUV	0.1529	3631
GALEX	NUV	NUV	0.2312	3631
